,case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,adults,children,residents
26775,2706,TX,False,"McCulloch County, TX",McCulloch County,2p0c,7728.0,5268.83496,13372.194,11013.58008,4709.26572,0.0,5312.96484,47404.8396,60591.9765625,2,0,2
27775,2806,TX,False,"Zavala County, TX",Zavala County,2p0c,7680.0,4622.11932,12620.058,11013.58008,4457.54292,0.0,4984.66812,45377.9676,37248.11328125,2,0,2
28527,2881,VA,True,"Charlottesville, VA HUD Metro FMR Area",Fluvanna County,2p2c,14865.0888,10793.56932,16142.7144,16420.9908,9297.14424,16866.4104,12756.1572,97142.0748,93759.484375,2,2,4
29708,2999,WA,True,"Seattle-Bellevue, WA HUD Metro FMR Area",King County,2p3c,33110.4204,14129.8812,15590.5824,14491.6068,17117.0244,24804.4188,17149.9524,136393.884,121465.3046875,2,3,5
4837,490,GA,True,"Athens-Clarke County, GA MSA",Madison County,2p2c,8245.58208,9594.28488,15164.0712,14193.648,6464.0874,9869.52168,6871.61724,70402.8108,64121.1796875,2,2,4
27155,2744,TX,False,"Reagan County, TX",Reagan County,2p0c,9276.0,5516.109,12623.8956,11013.58008,5359.76436,0.0,5641.37112,49430.7192,81504.3203125,2,0,2
3036,304,CO,False,"Summit County, CO",Summit County,2p1c,19284.0,10511.09112,14407.4712,10056.30756,10795.93656,10149.76836,12206.0316,87410.6076,92208.9765625,2,1,3
29309,2959,VA,True,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",Hampton city,2p4c,18190.4328,13439.0616,15078.498,21105.7248,11460.61236,18404.9928,13233.7812,110913.1056,71542.0546875,2,4,6
7168,723,IN,True,"Elkhart-Goshen, IN MSA",Elkhart County,2p3c,12564.0,10139.83884,14143.2624,17757.768,8226.49584,21080.2248,9340.03128,93251.6196,69381.609375,2,3,5
21526,2179,OK,False,"Delaware County, OK",Delaware County,2p1c,8736.0,7291.47804,13915.0572,13763.274,5807.38728,6069.95916,7363.92996,62947.0836,52887.703125,2,1,3
30573,3086,WI,False,"Clark County, WI",Clark County,1p3c,11820.0,9324.6204,14191.0884,15527.496,7661.52984,17276.2368,11384.4294,87185.4024,66303.1875,1,3,4
29638,2992,WA,False,"Ferry County, WA",Ferry County,2p3c,13344.0,11567.46972,16580.1972,13890.366,9026.40816,13995.7452,5484.52332,83888.7132,58375.0625,2,3,5
14075,1429,MS,False,"Calhoun County, MS",Calhoun County,2p0c,6660.0,5896.52964,13232.9976,11829.58008,4549.7256,0.0,6401.85576,48570.6888,46742.1484375,2,0,2
15056,1527,MO,False,"Clark County, MO",Clark County,2p1c,7944.0,6415.55352,13867.0416,19861.7244,5203.03236,4686.90672,7795.39824,65773.6584,62854.07421875,2,1,3
4111,418,GA,True,"Savannah, GA MSA",Chatham County,1p1c,12530.1288,5122.28796,10163.79636,7438.11036,6396.1662,7518.53316,7211.83224,56380.8576,71958.9453125,1,1,2
2361,237,CA,True,"Yuba City, CA MSA",Sutter County,1p1c,13631.3736,4449.51084,12113.0664,8221.12212,6551.41776,8287.749,6061.0704,59315.3088,67039.421875,1,1,2
4041,411,GA,True,"Butts County, GA HUD Metro FMR Area",Butts County,1p1c,10392.0,5412.80604,12193.422,7743.47172,5726.70444,6810.65556,6970.6956,55249.758,55110.78125,1,1,2
8681,875,IA,False,"Ringgold County, IA",Ringgold County,1p1c,8580.0,4250.73492,12610.1676,7360.49856,4649.08116,6935.27856,6063.06264,50448.8208,66911.0625,1,1,2
27151,2744,TX,False,"Reagan County, TX",Reagan County,1p1c,11688.0,4434.22008,11023.12428,8226.5208,5841.71592,5283.78696,4457.10168,50954.4732,81504.3203125,1,1,2
22539,2280,PA,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Bucks County,2p4c,20252.8284,15813.294,15830.1108,18990.5628,13068.1788,25539.4488,15945.8124,125440.248,112165.34375,2,4,6
1405,141,AR,False,"Hot Spring County, AR",Hot Spring County,2p0c,6372.0,5554.15104,12977.8848,9693.58008,4321.31508,0.0,5484.05088,44402.982,55575.93359375,2,0,2
18293,1856,NY,True,"Albany-Schenectady-Troy, NY MSA",Albany County,1p3c,16766.1504,10818.94992,12295.9968,10393.95996,9995.16948,31803.9288,18036.0624,110110.2192,97041.21875,1,3,4
15806,1602,MO,False,"Saline County, MO",Saline County,2p1c,7944.0,6131.47008,13676.316,15996.5688,5100.0978,4653.41928,6588.84012,60090.7092,58864.85546875,2,1,3
31418,3170,WY,False,"Washakie County, WY",Washakie County,2p3c,12360.0,11933.52828,16145.1036,25325.604,8802.50316,22307.244,10075.45308,106949.4372,70096.28125,2,3,5
7275,734,IN,True,"Louisville, KY-IN HUD Metro FMR Area",Harrison County,2p0c,7780.53144,5078.62464,13300.6596,8906.69976,4659.37944,0.0,6097.92192,45823.8168,75322.828125,2,0,2
21300,2157,OH,True,"Toledo, OH MSA",Wood County,1p0c,6809.71944,3019.1616,10208.77584,4501.34988,3561.39108,0.0,4572.06624,32672.4636,85241.9609375,1,0,1
19141,1941,NC,False,"Columbus County, NC",Columbus County,1p1c,8316.0,4296.60612,11663.8542,8298.36984,4570.04484,6333.62772,5458.67172,48937.1748,49960.22265625,1,1,2
8493,856,IA,True,"Des Moines-West Des Moines, IA MSA",Madison County,1p3c,12747.6984,9264.84744,14715.0576,12388.1076,7976.0142,14983.6452,10751.9766,82827.3456,83066.1171875,1,3,4
29420,2971,VA,True,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",Poquoson city,1p0c,11796.82548,3185.16324,10711.09128,5221.47984,5428.56516,0.0,7422.29292,43765.4184,112442.5859375,1,0,1
4901,497,GA,True,"Morgan County, GA HUD Metro FMR Area",Morgan County,1p1c,10464.0,4724.73744,12690.288,7096.82376,5503.47876,6914.21412,6730.18356,54123.726,79032.75,1,1,2
25056,2534,TN,True,"Chattanooga, TN-GA MSA",Sequatchie County,2p1c,8404.28028,7788.62472,13963.3416,12868.9512,5867.328,7081.4538,5561.8986,61535.8764,60990.38671875,2,1,3
7333,740,IN,True,"Jasper County, IN HUD Metro FMR Area",Jasper County,1p3c,13656.0,9503.94072,14220.7908,12716.868,8391.7602,22218.7776,11567.10936,92275.248,75953.296875,1,3,4
10315,1038,KY,True,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Gallatin County,2p0c,6905.76636,5535.13032,13797.798,11354.95968,4507.82772,0.0,7368.16776,49469.6484,57785.6640625,2,0,2
5161,523,GA,False,"Talbot County, GA",Talbot County,1p1c,7860.0,4862.3514,12378.6756,8208.55812,4609.80948,5090.68548,5512.14444,48522.2232,49829.8125,1,1,2
30859,3114,WI,False,"Marinette County, WI",Marinette County,2p4c,10956.0,12229.5456,15083.2092,19684.164,8401.03788,17058.0936,7729.26564,91141.3188,62542.94921875,2,4,6
175,18,AL,False,"Conecuh County, AL",Conecuh County,2p0c,6384.0,5630.235,13196.3316,11373.58008,4353.23148,0.0,6808.61352,47745.9936,49227.06640625,2,0,2
3719,378,FL,True,"Tampa-St. Petersburg-Clearwater, FL MSA",Pinellas County,2p4c,19750.5336,15678.9036,14507.124,20148.7296,12837.4824,14491.7448,7985.15628,105399.6792,74353.5,2,4,6
10365,1043,KY,False,"Green County, KY",Green County,2p0c,6036.0,5021.56092,13378.1256,9741.58008,4006.59012,0.0,6387.43356,44571.2904,50504.4375,2,0,2
8767,883,IA,False,"Union County, IA",Union County,2p2c,8580.0,8724.80352,14566.3716,14720.9976,6270.2124,10435.73436,7317.75,70615.8696,73879.109375,2,2,4
